0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.49439758211021945,-0.4998236635498789,-0.4593372596850996,-0.4698536561094095,-0.44211645293532387,-0.4754620510056186,-0.47116446629224334,-0.4546129761448705,-0.4587030221222663,-0.47195943572456533,-0.46772739574759736,-0.45885650598780436,-0.4663270720817631,-0.4530787210152598,-0.43979298475496076,-0.44931621930313326,-0.4642204180257393,-0.4639406384456093,-0.46405003620192453,-0.4677558191607394,-0.465476130595343,-0.4639930554416114,-0.4737379102301863,-0.4852672399639592,-0.5004264953995846
-0.5352746163929699,-0.5473345320594816,-0.49830895430004135,-0.4715110835800522,-0.46564944743328046,-0.4333450822383663,-0.49018625281121714,-0.4651206988433186,-0.457769440361248,-0.45413834404584463,-0.47095608978086095,-0.4501882317410038,-0.4650053203557361,-0.45793142778868473,-0.44092424424641674,-0.44727163015161336,-0.46885771731672365,-0.46015867810987204,-0.4652841744098397,-0.4695347568249923,-0.4661263983616353,-0.4650846248960059,-0.47371915672942383,-0.48480238618795835,-0.5018300820153776
-0.5348495493563136,-0.42761383443347406,-0.4786367074694477,-0.5031786306861076,-0.44286772558626736,-0.4632911628069797,-0.4829559956851134,-0.48264890532058813,-0.4446925562600226,-0.4592691080544427,-0.46991515474110523,-0.4649368882998226,-0.45899556722532664,-0.4539784408702137,-0.43950011900445907,-0.45197278171204225,-0.4727158201795629,-0.4673288276765664,-0.46622696231085653,-0.47023020562148454,-0.46817492414704487,-0.46740781253255287,-0.47511644114514917,-0.4864472497667573,-0.5030803672197788
-0.3215064323911833,-0.5407964928304075,-0.5095453151216749,-0.4481892324051461,-0.4669767654542385,-0.47694107409132674,-0.47242256233758184,-0.460589194703325,-0.4569449441716332,-0.4578654836288019,-0.45121198881130814,-0.45972680543235267,-0.4691503408023713,-0.45887689648840124,-0.4443576767272508,-0.4550172237685278,-0.4672492092801947,-0.46425494893079994,-0.46681744536883935,-0.4721603234452596,-0.46886631781986043,-0.46789850606643824,-0.4767765891550744,-0.4870819919039831,-0.5033623714355692
-0.4751141278765696,-0.43780069645661424,-0.47769459789737906,-0.46482275654819094,-0.4920250443559617,-0.4856063896605757,-0.46101193607882335,-0.46725072409620366,-0.4614878686516084,-0.44943543395138497,-0.4683570835188787,-0.45997003960882943,-0.474271944604147,-0.4536464200904154,-0.44585723809680816,-0.4539881489748834,-0.4724386340186433,-0.465987307891017,-0.46849863706605804,-0.47314556905208205,-0.47008908771766184,-0.4684272294978815,-0.4788646159082108,-0.4884284404728511,-0.5036216927865766
-0.44766920988072745,-0.454917700059542,-0.46240842635295726,-0.491108951307506,-0.4853176220005454,-0.4833554317478379,-0.46108664195665283,-0.4738090958258797,-0.47289780270097004,-0.4664096120013118,-0.4631285510963583,-0.46129086815618586,-0.4652138949681457,-0.45121786589553453,-0.4532887403948465,-0.45403575425774045,-0.4702281757579634,-0.4683232728937031,-0.46813008983748644,-0.4720653244582819,-0.47076789723507073,-0.4704395184746089,-0.4770992162674624,-0.4877545558493131,-0.5043020304660549
-0.3220574759008227,-0.42122005020195746,-0.5360778807992564,-0.44382855566461527,-0.5018587142894775,-0.4835841348370613,-0.44626547284960877,-0.4515212542198463,-0.45941662995808147,-0.45798950007583983,-0.4627524918977755,-0.4547987576189126,-0.47017520431696896,-0.4625498893103736,-0.4474512717348084,-0.45546596500021874,-0.47081397604448466,-0.46684335207556815,-0.4695565870819405,-0.4737816899539819,-0.47300994932979556,-0.4706258406211921,-0.47834559056813286,-0.489941383296394,-0.5049819411153383
-0.4455189065735306,-0.46311329912425914,-0.5908380698130482,-0.45572986050171477,-0.49133581194792575,-0.5069546080531444,-0.4730953460279339,-0.4496435460965292,-0.4491480404580503,-0.4598756205016313,-0.4685296969943203,-0.4556329550934365,-0.4645693591435889,-0.4559788934089759,-0.4511390512265973,-0.45793692415797643,-0.47302185900604643,-0.46923992910914203,-0.47146295336839267,-0.47385470415058367,-0.4719855446618377,-0.47106489922157013,-0.47860090293104357,-0.49018849943931714,-0.5051241463028121
-0.46656024000814755,-0.3898397917926784,-0.38051912687668954,-0.46473260335849265,-0.4727782870012242,-0.4705381850385711,-0.4629702732123858,-0.46642315433471915,-0.46317040953881317,-0.4804268069188229,-0.4740645042840083,-0.4633356625791887,-0.465855941592076,-0.4512931630101393,-0.4509647134246558,-0.4552236705486722,-0.47570127942005414,-0.46767696164266914,-0.47021906471136204,-0.47794043819175913,-0.4734480571407141,-0.47186220843873944,-0.4792619735093975,-0.49119603216897206,-0.506944641949485
-0.4883566260090149,-0.5059691360837439,-0.518564774398317,-0.5253487200516264,-0.4831510768317297,-0.4585856679002797,-0.4553513652097013,-0.47133731742395857,-0.472221378202021,-0.4612094853025551,-0.46672492663185045,-0.460342405223423,-0.4640719028186255,-0.45420608276994173,-0.45080816508177624,-0.4574780125213503,-0.47418201152097444,-0.471403976407973,-0.47192566870986363,-0.47654053737733365,-0.47358712726807856,-0.47166459605762767,-0.479530458492812,-0.4922684063605347,-0.5080540022733604
