field,value
att_conversion,-73.84397997753022
att,40.0
att_corrected,29.0
Pvna,-45.0
Pvna_corrected,-44.843979977530225
qubit_f,7893578413.0
saFreqSpanHz,2000000.0
saNumAvg,100.0
saResBW,10000.0
SANoiseLevel,1.66648e-13
HEMTNoiseLevel,2.76439e-13
JPANoiseLevel,9.07194e-13
HEMT_VNAPeakLevel,3.45462e-12
JPA_VNAPeakLevel,8.9043e-11
HEMT_LOPeakLevel,3.03879e-12
JPA_LOPeakLevel,8.26609e-11
