state,shot_index,I1_mean,Q1_mean,I2_mean,Q2_mean,I1_std,Q1_std,I2_std,Q2_std
vacuum,0,0.0004546549,0.0004800912,0.00095581857,0.00052251574,0.023635702,0.023930056,0.029111916,0.0279887
vacuum,1,-0.0008347997,-0.001114624,0.0009306874,-0.0013433439,0.023010463,0.023490194,0.028832328,0.029952276
vacuum,2,-0.0012045428,0.0003427546,-0.00046628754,4.9088965e-05,0.023363488,0.023837002,0.028919106,0.029190693
vacuum,3,0.0005291263,-0.0011458531,-0.000997754,-0.0013264616,0.024362816,0.02329676,0.028979514,0.02861335
vacuum,4,0.00034738705,-0.0002808136,0.0007493811,-0.00027403698,0.023396334,0.023579197,0.028513819,0.028292734
vacuum,5,0.00083090825,-0.00013074151,0.0005731194,-0.0004968294,0.02428542,0.023249054,0.028044684,0.029485965
vacuum,6,-8.5897496e-05,0.0024695653,-0.00045047095,0.0003681163,0.024460942,0.024457406,0.0280878,0.029330555
vacuum,7,0.0016265296,0.00023074423,-0.0013041956,-0.0015474388,0.023975428,0.023780558,0.030761419,0.02892851
vacuum,8,9.8620236e-05,-0.0009064177,-0.0007599464,0.0014377255,0.023844112,0.023818161,0.028943064,0.029502217
vacuum,9,0.00067603076,0.00024372293,0.0009978428,0.0005184791,0.023920553,0.023538023,0.028740572,0.028032748
vacuum,10,-0.0009649113,0.00095454603,-0.00062992587,-0.0004042604,0.02386318,0.023415286,0.027419388,0.028199699
vacuum,11,-0.00044743813,-0.0007850353,-0.00033529993,-0.00030350446,0.024245517,0.024162559,0.029091813,0.028782224
vacuum,12,0.0006725824,-0.00036760065,-0.00021481444,0.0017104291,0.023708493,0.023339368,0.028501188,0.029239055
vacuum,13,0.0016052541,-9.4549556e-05,0.0017359275,-0.0001523858,0.02374344,0.022983933,0.029228302,0.028517779
vacuum,14,0.0002559926,-0.0003668946,0.0011466352,-0.00082388823,0.024364881,0.023793258,0.028942736,0.028653152
vacuum,15,-0.0010726016,-0.0008731026,-0.0012542135,-0.00013479783,0.02317547,0.023842925,0.029094562,0.028495142
vacuum,16,0.00011183013,-0.0002459161,0.0008777256,0.00059603225,0.02382598,0.024352944,0.027911795,0.029308258
vacuum,17,-6.106621e-05,0.0001602124,0.00062850054,0.0002816755,0.023483416,0.0243138,0.028567292,0.026874242
vacuum,18,-0.00019748289,0.00015062976,0.0007823229,0.0009195222,0.02389567,0.022855435,0.028441649,0.027143333
vacuum,19,0.00084724464,-8.595009e-05,0.00094328023,-0.00024611733,0.023216913,0.02260295,0.028883299,0.027874295
vacuum,20,-0.0010224632,-0.00041655859,0.00037695596,-0.0031992053,0.02463522,0.023863833,0.028484175,0.028230317
vacuum,21,-0.00022883789,-0.0014551105,0.00039506177,-0.00022721401,0.02375455,0.023375347,0.026826277,0.028139284
vacuum,22,-0.0015797913,-0.0023200712,-0.0017950408,-0.00051349297,0.023016417,0.023493614,0.02790226,0.027692085
vacuum,23,-0.0010800408,0.0003826763,0.00037644006,4.5501438e-05,0.023731763,0.024064854,0.028850738,0.0285521
vacuum,24,0.0010756726,0.00029734205,-0.00038488946,0.000106796215,0.02409346,0.023772713,0.029207623,0.028032832
vacuum,25,0.0010986882,0.0002482264,9.67416e-05,-2.836874e-05,0.024129545,0.022788346,0.027567318,0.027544321
vacuum,26,0.00010329799,9.885305e-05,0.0005644816,-0.0009819915,0.02389177,0.024315901,0.028350648,0.028904315
vacuum,27,0.00032650837,-0.0010445965,0.00016461243,0.0011316908,0.023997104,0.023783175,0.02931503,0.028966956
vacuum,28,-1.4619291e-06,0.000431633,0.000102594495,0.0015055471,0.023586206,0.024433507,0.028102847,0.02786826
vacuum,29,-0.0005176192,0.000112062786,-0.00078393344,-0.0009377593,0.022578657,0.023506716,0.028375184,0.028220598
vacuum,30,-0.0017853309,-0.0004798642,-0.00028817283,0.00036389704,0.024538118,0.023773888,0.028771158,0.028724443
vacuum,31,-0.00043297315,-0.00083959196,1.258275e-05,0.0012472663,0.022887692,0.023542902,0.029470352,0.027630363
vacuum,32,0.00033592392,0.0004903632,-0.00047303893,-0.00044565153,0.02391084,0.02253052,0.029231876,0.029169995
vacuum,33,3.8704806e-05,0.00029407482,0.0024696505,0.0013476382,0.024081184,0.023685807,0.02895061,0.028945522
vacuum,34,0.0008008086,0.00027325857,0.00062748883,-0.0004766868,0.023705298,0.023822336,0.02866811,0.0285622
vacuum,35,0.0014958166,0.0009407685,-0.0012175653,0.0010868006,0.023195917,0.023485929,0.029583763,0.027928343
vacuum,36,1.0390198e-05,0.00058279803,0.00028147927,-0.00065545895,0.023359647,0.023357397,0.02827387,0.02869283
vacuum,37,0.0006048802,0.0018761242,0.00023582249,0.00037427997,0.023985427,0.02384436,0.029002316,0.029025933
vacuum,38,0.0009951143,0.0008273674,0.00013205266,0.0014834572,0.02397166,0.023808911,0.02904068,0.02860648
vacuum,39,-0.0010287692,-0.0011396805,0.00013870982,-0.0008974286,0.02398309,0.023512471,0.027933285,0.028198335
vacuum,40,-0.00039326632,0.00108864,0.00093110837,0.0010395399,0.023665585,0.024125371,0.029025272,0.029207543
vacuum,41,-0.00033516498,0.0001824781,0.00045411123,-0.0018777625,0.023656072,0.023509542,0.02948666,0.028499048
vacuum,42,0.000250265,0.0008222355,1.8410035e-05,0.00045767208,0.023795364,0.024229622,0.027422136,0.028107166
vacuum,43,0.001135479,0.00064032426,0.0009780573,-6.706841e-05,0.023613188,0.023536753,0.02831734,0.028116092
vacuum,44,-0.00077310327,-0.0011614519,-0.00060923496,-0.0012047519,0.023699759,0.023839986,0.028860277,0.028652666
vacuum,45,-0.0008567176,-0.0007344645,0.00020163515,0.00038894062,0.023270259,0.024257947,0.027938426,0.028673908
vacuum,46,-0.0003942305,-0.0012549863,0.00055260025,-0.0005538411,0.023932926,0.022407457,0.028194046,0.028836163
vacuum,47,0.00019264343,0.0006900728,-0.00091510726,0.0011245523,0.023366014,0.023447528,0.028572414,0.029156305
vacuum,48,-0.00069829635,-0.0003532411,-0.0008649549,0.0005652087,0.024684714,0.02440085,0.028307114,0.027648121
vacuum,49,-0.0015108843,-0.0002852598,-0.000799568,-0.0010130389,0.024494743,0.023917392,0.029060734,0.027625268
vacuum,50,0.0013243057,-0.0009043831,0.0002626049,0.000250911,0.023344506,0.023487031,0.028844738,0.028486118
vacuum,51,-0.00034743053,2.2726745e-05,-0.0016077559,0.0006727796,0.024082735,0.023483584,0.028218511,0.029075524
vacuum,52,-0.00052818854,-0.0015468646,-5.02505e-05,-0.0011949164,0.024071658,0.023964748,0.028670363,0.029047333
vacuum,53,0.0003459554,0.00033353074,-0.0013640891,-0.00035564334,0.02434494,0.023551028,0.029014386,0.028624088
vacuum,54,0.0007349474,-0.00086483196,-0.00016477329,0.0007745736,0.023652397,0.023264552,0.02792386,0.02883533
vacuum,55,-0.00095168623,7.948927e-05,0.0015311362,0.00070405885,0.0237729,0.02366582,0.028991492,0.028165346
vacuum,56,-0.0016278265,-1.24174985e-05,-0.000737159,0.00054119166,0.024275484,0.024163727,0.028992256,0.02864803
vacuum,57,-0.0008043174,-0.00027963266,-0.0008541405,-0.0005077414,0.02366471,0.023561025,0.028243653,0.028353993
vacuum,58,0.0002617722,-0.00052135775,-0.00071605993,-0.00067078456,0.023284482,0.024365267,0.028352931,0.028884193
vacuum,59,0.0004926964,-0.00043752714,-0.0006167514,0.0012407326,0.023117002,0.023573114,0.027651962,0.02833121
vacuum,60,0.0012836733,-0.0007324976,0.00085336936,0.0017750245,0.024497282,0.023401337,0.027500384,0.027676731
vacuum,61,-1.876519e-05,-0.0008174083,-0.00070496916,-0.00013213872,0.024311572,0.023129284,0.02866277,0.03056562
vacuum,62,0.0010623054,0.0002377326,0.00015778973,-0.0001141853,0.023854746,0.02350777,0.028608838,0.028860848
vacuum,63,-7.295306e-05,-0.0007885117,-0.001130711,0.0003023474,0.024501268,0.022863055,0.028659305,0.02710536
vacuum,64,9.1185095e-05,0.00088143843,0.00024617184,-0.0012233803,0.02348844,0.02289041,0.027767247,0.028725166
