state,time_s,I1_mean,Q1_mean,I2_mean,Q2_mean
vacuum,0.0,-0.0001774511,0.0003801779,0.00063771027,-4.4924363e-05
vacuum,2e-09,-0.0012535525,2.108264e-06,0.00047698052,1.5643016e-07
vacuum,4e-09,-8.1837534e-05,-0.0003966497,0.00046658012,-0.0008440749
vacuum,6e-09,-0.00043758628,0.0009321168,-0.00047548715,-0.00075864897
vacuum,8e-09,0.0006483728,-0.0006380138,0.000717464,0.0005830132
vacuum,1e-08,0.00045181974,4.6392062e-05,-0.0009739892,0.00068877055
vacuum,1.2e-08,-0.0006587569,-0.00031111046,0.00010244344,-0.0002591898
vacuum,1.4e-08,0.00010157949,0.00033790214,-0.00057484297,-0.0003556808
vacuum,1.6e-08,-0.00032399257,0.0011951328,-0.0008385046,5.6642584e-06
vacuum,1.8e-08,-0.00025520002,-0.0007072139,-1.2341369e-05,0.0013599249
vacuum,2e-08,0.0005703507,-7.0685455e-05,-0.0015946075,0.00066192215
vacuum,2.2e-08,-0.000726888,-0.00050132215,0.00053883897,-3.7592305e-05
vacuum,2.4e-08,-0.0005614136,-0.0007530854,-0.0010419344,0.0012559847
vacuum,2.6e-08,0.00053089915,0.00070790766,-6.234393e-05,-0.00012993683
vacuum,2.8e-08,9.051002e-05,-0.00014296865,-0.00012412772,0.001509049
vacuum,3e-08,0.00048633965,3.318225e-05,-0.00034416083,-0.00055454933
vacuum,3.2e-08,-0.00044985177,-0.00026900644,-4.867624e-05,-0.00067497423
vacuum,3.4e-08,-0.00071179547,0.0006793388,-0.0002958844,-0.00032894313
vacuum,3.6e-08,-0.00036962194,0.0003651706,-6.0250302e-05,-0.00028218311
vacuum,3.8e-08,0.00041477176,-6.0200106e-05,0.00019721422,-0.00048903574
vacuum,4e-08,-7.672085e-05,-0.0004102906,0.00082736276,-0.00061979605
vacuum,4.2e-08,0.00062202173,-0.00028330286,6.9450136e-05,-0.0007995001
vacuum,4.4e-08,-0.00025305682,4.0521678e-05,0.00047305538,-0.00044272238
vacuum,4.6e-08,4.8592965e-06,-0.0001396066,-0.00056861655,0.000829733
vacuum,4.8e-08,0.0004018784,0.0007683201,0.0009536805,0.001187723
vacuum,5e-08,-0.00044204007,0.00031301106,0.00013555627,-0.0013848438
vacuum,5.2e-08,2.125447e-05,0.0008194826,0.00014215228,0.00048787845
vacuum,5.4e-08,-5.536628e-05,-0.00036552022,0.00078391016,-0.00048073175
vacuum,5.6e-08,-0.0007147271,-0.00030439952,-0.00014156826,-0.0011168978
vacuum,5.8e-08,6.1545994e-05,-1.9969175e-05,-0.00029825515,0.00023884694
vacuum,6e-08,-0.00031766095,0.00013841924,0.00013258378,-0.00030689925
vacuum,6.2e-08,-0.00015047108,-0.000150854,0.0011194223,0.00065771845
vacuum,6.4e-08,0.0002489966,-0.00064687495,0.0009647786,0.0009782457
vacuum,6.6e-08,-0.00010899173,0.00015798597,-0.00029974055,0.0021720955
