0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.4368941981280568,-0.45070657086577404,-0.5230929481349811,-0.4959443192088518,-0.47676104526893753,-0.4455300761274925,-0.4834128976252079,-0.4665014901909717,-0.4652855119331746,-0.45467699857795296,-0.4639854250332026,-0.4546326860720642,-0.4561495972975054,-0.4623218837994347,-0.4547602034117912,-0.45404394660377145,-0.47081217838096767,-0.4595585381821849,-0.46472186477073096,-0.46721207042897334,-0.47205060402186166,-0.4788946288142295,-0.47937619648345253,-0.4896399389144663,-0.4987243386526517
-0.4208650546739802,-0.44323940373139387,-0.5212883638105945,-0.4592616276523129,-0.49696258641091595,-0.4737353985336978,-0.4539644325119723,-0.471469525052383,-0.4646674451590301,-0.4667307077897428,-0.4624858263431402,-0.46150634814610136,-0.4500391046008763,-0.4644306427632919,-0.45721059035141365,-0.4557352776140088,-0.4718244245849835,-0.46244287106890464,-0.4667544852777943,-0.4699960525337458,-0.47409511582882313,-0.4789315588510404,-0.4814092747150209,-0.4917690256555367,-0.5010824177269119
-0.498906031449009,-0.4637963889460466,-0.44585987532849336,-0.47211809380594516,-0.4628555596827275,-0.42398323948615574,-0.46884882332526984,-0.44834002457276245,-0.4624924913663751,-0.47755074045369145,-0.46352425189319213,-0.4519956092973483,-0.45215121673852066,-0.46499679783016956,-0.45400837580757897,-0.45819642138813443,-0.47194957414845107,-0.4643841925360821,-0.46587591582740795,-0.47098452867535145,-0.4729237871753136,-0.47939787808883727,-0.48244920435704486,-0.4918277965948573,-0.5017860372813625
-0.34622342560823666,-0.41185165342365937,-0.41041999804036067,-0.4773360059514079,-0.4444831541398376,-0.45628743046141196,-0.46810764671655475,-0.44674438722936227,-0.47308691003846065,-0.47636611283342145,-0.46130452733548244,-0.4583006210420602,-0.45847488652287127,-0.46507073553205447,-0.4569257745858605,-0.45829276165484056,-0.471080396013891,-0.46364176310914723,-0.4689058347547765,-0.4713031440093269,-0.47474795035834116,-0.4819734829557239,-0.4825946789152793,-0.49301031780957744,-0.5013539614224471
-0.4704188797295976,-0.4431252589125469,-0.46419683654424704,-0.4726805188271225,-0.47317748351295175,-0.5043140192139339,-0.4628309594071908,-0.47625022946865436,-0.4707350350861787,-0.4680985555161891,-0.45812019351649497,-0.4628472169554697,-0.4635293269897448,-0.46821682469896386,-0.4534171815700231,-0.4571677875509043,-0.4729358989525908,-0.46828519186490153,-0.4674921140222633,-0.47263609033190584,-0.47659936296691463,-0.4816869381499636,-0.4824862908153874,-0.4950717356144811,-0.5030263098391606
-0.39788331251839554,-0.4487500879138798,-0.5036189810290258,-0.46090857874278995,-0.48936545606567666,-0.475678619837026,-0.48652520607861094,-0.46241861020629355,-0.4559602598048843,-0.4634444259015164,-0.46935840078035446,-0.4656353463383211,-0.45652539265232195,-0.4674038313916491,-0.4541375252246055,-0.4575415488339416,-0.47742980490373316,-0.465660503859036,-0.46854431629734494,-0.4725840711097261,-0.47648641591980895,-0.48117520843371625,-0.4838788835211747,-0.4941137202563838,-0.503140191468179
-0.41349301982197195,-0.4339683204119573,-0.4730221000715754,-0.463990434783332,-0.4813813621704147,-0.4662031265514247,-0.47777602947448206,-0.47938849406296014,-0.45885387797092,-0.48183087427124216,-0.470519064611743,-0.4567808093934073,-0.4570530822545217,-0.4678567102368119,-0.4513682451958669,-0.4569297707326297,-0.47606176093289426,-0.4660610627304176,-0.4714714113213672,-0.4732051440242242,-0.4777099171635522,-0.48365322846529046,-0.485500190627729,-0.4953490627597946,-0.5040120382138882
-0.44105729951463696,-0.47885617750534704,-0.4615187220165078,-0.5354100400232485,-0.4687342457934362,-0.4769172234801636,-0.48289615628320665,-0.487786994257761,-0.4546332769656739,-0.4702813455004175,-0.47055061405196724,-0.4553657765387201,-0.4591376851805309,-0.47202732188261837,-0.4577107681083435,-0.4578673785115991,-0.47684710715879597,-0.46881804194296617,-0.47181925049645357,-0.47465309563706626,-0.47849558976210177,-0.4834327596269397,-0.4860610619278893,-0.49588231077301725,-0.5039885036322663
-0.4254817851914417,-0.482572459253693,-0.49038568249839054,-0.5199775381148405,-0.5092924474875508,-0.47080469868792446,-0.46625071437490995,-0.49109241519408203,-0.4740138427330653,-0.4644736527626193,-0.46920402616571183,-0.46054440778608974,-0.4600671899451372,-0.46913985974924244,-0.45723508103372706,-0.4599714010420608,-0.47743961686057484,-0.46914583416479533,-0.4713364126652656,-0.47356319083506443,-0.4784110186888016,-0.48497548661839374,-0.48666316024509965,-0.49699930093824135,-0.505561891638395
-0.4827961326249539,-0.44016999146785224,-0.5046160619874842,-0.4490215097012791,-0.5038598920211074,-0.4923463027267088,-0.5083415251785748,-0.48233477275882847,-0.4429421425704728,-0.4725640036071036,-0.46453238049104134,-0.4627134019169713,-0.4586350426440723,-0.46837269576963203,-0.45463269888612856,-0.46178049100300744,-0.4764541896389391,-0.47121785721289605,-0.4716815456684533,-0.47703529135776906,-0.478858195111661,-0.4859806117142085,-0.48692871119494796,-0.4976466283463101,-0.5052147347574066
