pulse_index,pulseSigma_s,attenuation_index,attenuation,ampIf,I1,Q1,P1,I2,Q2,P2,PCorr,STD_I1,STD_Q1,STD_P1,STD_I2,STD_Q2,STD_P2,STD_PCorr
0,2e-08,0,7.0,0.4477442277136679,0.000866501487861576,0.003575342783799944,0.0011239132237602395,0.0011934933328639971,0.003283100138935509,0.0016628363788226623,3.996018510342063e-05,9.170866454596907e-05,9.237887997336299e-05,4.3820619868582865e-06,0.00011286628219910409,0.00011157861797182669,6.512048111270925e-06,3.7443433197483845e-06
0,2e-08,1,7.168926903566657,0.4391204375202437,0.0009236388575166913,0.003521155845072677,0.0011294128444612115,0.0009132373848589893,0.003283649399840262,0.0016722195342906928,4.264595753172773e-05,9.255056263305317e-05,9.201609156273559e-05,4.408123040908568e-06,0.00011299298255373003,0.00011213078459190779,6.5504306512995756e-06,3.7898112094964587e-06
0,2e-08,2,7.341204442230946,0.4304966473268195,0.0008647497957085229,0.0038363382856123696,0.0011423064873763704,0.0008316808188017129,0.00337399091729405,0.0016823333064709131,5.1713478673016925e-05,9.2596842042371e-05,9.285132736943941e-05,4.467552464423051e-06,0.00011325886356847972,0.00011251882437643721,6.589709841490669e-06,3.8041538891486194e-06
0,2e-08,3,7.516968228888988,0.4218728571333954,0.0008382463280736256,0.0036200975023345365,0.0011361918666624375,0.001021280559756356,0.003007221748546814,0.001688115807803823,5.456956308926798e-05,9.259912622886137e-05,9.248205683185677e-05,4.426099526705497e-06,0.0001133506050348554,0.00011295260420391005,6.642919723610263e-06,3.805133211301476e-06
0,2e-08,4,7.696362279941891,0.4132490669399712,0.0008644303953241644,0.0037063032790733215,0.001149611334331148,0.0009292686582811253,0.0032112868431865235,0.001701741112480071,5.805474515459425e-05,9.336064077923527e-05,9.276735433924428e-05,4.490565288312299e-06,0.00011353994078127124,0.00011360734129358623,6.670849217948084e-06,3.835006065751828e-06
0,2e-08,5,7.879539724284474,0.404625276746547,0.0008196340346130805,0.0035111903270585664,0.0011538575060603552,0.0007116650341134156,0.003141892557879807,0.0017015539528240577,6.819312919095911e-05,9.340950299811545e-05,9.318848153276205e-05,4.499723335867167e-06,0.00011396040395305251,0.0001132267330301206,6.6554329278750125e-06,3.857838770094884e-06
0,2e-08,6,8.06666358867814,0.39600148655312284,0.0010128227063093316,0.0035559268595372487,0.001147640636373775,0.0010777322679934032,0.0031445612561272567,0.0016998880022567949,7.131300500409733e-05,9.332665636742496e-05,9.270635186133837e-05,4.489055225422757e-06,0.00011384804708274687,0.00011318221902303411,6.631465544030919e-06,3.825534453607651e-06
0,2e-08,7,8.257907669600968,0.38737769635969865,0.0008997751769016634,0.003243137278565438,0.0011507760104889743,0.000895608766032369,0.0030555201424521893,0.0017127559123783112,8.008784090673206e-05,9.342578562568569e-05,9.305671986765368e-05,4.51141803367668e-06,0.00011419898918442775,0.00011375612444530436,6.725348883055288e-06,3.866156975726626e-06
0,2e-08,8,8.453457503259294,0.3787539061662745,0.0008844498638989362,0.0031943780567491547,0.0011716517232661901,0.0008068880102482196,0.002992900821282501,0.0017170385394707159,7.365913151695279e-05,9.415202071099477e-05,9.405900868921686e-05,4.5200975194706294e-06,0.00011426986544070868,0.00011400745662157835,6.660962518284389e-06,3.905321093820622e-06
0,2e-08,9,8.653511447329237,0.37013011597285034,0.0008195668436153128,0.003008154317845223,0.0011643948568718608,0.0007370478803284198,0.002893938084842052,0.0017468963964775322,7.720568501798659e-05,9.392843507944395e-05,9.379617833798542e-05,4.510525082496019e-06,0.00011562271313881147,0.00011468589970981058,6.792433699564617e-06,3.909674749166545e-06
0,2e-08,10,8.858281890236427,0.36150632577942615,0.0007006975842577488,0.00294585496120841,0.0011760400185185955,0.0006823700941592902,0.002602138710974082,0.001742871150698307,8.596677548213885e-05,9.426001160846962e-05,9.44534111517969e-05,4.5379451787321765e-06,0.00011559038194800499,0.00011456248703667514,6.8051274513277094e-06,3.914415452587023e-06
0,2e-08,11,9.067996606454969,0.35288253558600197,0.0007471684312686785,0.0025636875592006418,0.0011845614486754746,0.0006884830141519135,0.0025743554114978414,0.001748588679796834,8.757644080797278e-05,9.491206378211482e-05,9.465324907295928e-05,4.602602814330587e-06,0.00011559380278545048,0.00011494819976954596,6.847810353987424e-06,3.952040648922342e-06
0,2e-08,12,9.282900279508187,0.34425874539257784,0.0006287417315779842,0.0021899299250168094,0.0011748800277504546,0.0005091014004792497,0.002080349914030406,0.0017703149553546724,8.799669967011699e-05,9.417775490601555e-05,9.476259155463304e-05,4.552049546112785e-06,0.00011629384714738724,0.00011584760097856307,6.9332364395253905e-06,3.9508289620379e-06
0,2e-08,13,9.503256218205799,0.33563495519915365,0.0006516850767737099,0.0018938617242450519,0.001181970694923308,0.0006617585894499061,0.0017165502964293536,0.0017565149225041892,0.00010068481385423308,9.451641460773222e-05,9.509075201279894e-05,4.581726003619581e-06,0.00011589712110449776,0.00011541467052147644,6.839189863748595e-06,3.96535486441529e-06
0,2e-08,14,9.72934829630627,0.32701116500572946,0.00040227547426642605,0.0014402442017274139,0.0011725955811408581,0.0005974924040827315,0.0014747037729895,0.001751108810198237,9.125178418847784e-05,9.409013458233218e-05,9.490351502833161e-05,4.586934894259679e-06,0.00011556670092794246,0.00011544497368532151,6.862343395122603e-06,3.909356730448426e-06
0,2e-08,15,9.961483151443034,0.3183873748123053,0.000517561484721879,0.0011263825902036188,0.001185153885277053,0.0002607769332065107,0.0009954650391938973,0.0017739647937679286,0.00010094595785375316,9.473200473392262e-05,9.532990961097406e-05,4.6229166000194855e-06,0.000116307620164537,0.00011630562239525947,6.8826914912547756e-06,3.993499985963498e-06
0,2e-08,16,10.199992686044716,0.3097635846188811,0.00012492791399874246,0.0006851793704384313,0.0011812869704298456,0.0002593958718741603,0.0007904497343074797,0.0017541659903529906,0.00010140901234517499,9.470739637202299e-05,9.512881170597784e-05,4.60413467900028e-06,0.0001154578030427677,0.00011587676837842312,6.842125104117395e-06,3.931897956099858e-06
